['010097.jpg'] ssim/ir:0.153094 ssim/vi:0.131091
['010098.jpg'] ssim/ir:0.086207 ssim/vi:0.128486
['010099.jpg'] ssim/ir:0.127677 ssim/vi:0.126622
['010100.jpg'] ssim/ir:0.064747 ssim/vi:0.157141
['010101.jpg'] ssim/ir:0.162650 ssim/vi:0.112579
['010102.jpg'] ssim/ir:0.098983 ssim/vi:0.126970
['010103.jpg'] ssim/ir:0.129564 ssim/vi:0.132906
['010104.jpg'] ssim/ir:0.146826 ssim/vi:0.143092
['010105.jpg'] ssim/ir:0.094925 ssim/vi:0.141628
['010106.jpg'] ssim/ir:0.177345 ssim/vi:0.177668
['010107.jpg'] ssim/ir:0.110760 ssim/vi:0.138058
['010108.jpg'] ssim/ir:0.100098 ssim/vi:0.130761
['010109.jpg'] ssim/ir:0.087990 ssim/vi:0.157791
['010110.jpg'] ssim/ir:0.137584 ssim/vi:0.119659
['010111.jpg'] ssim/ir:0.088051 ssim/vi:0.132828
['010112.jpg'] ssim/ir:0.113159 ssim/vi:0.137469
['010113.jpg'] ssim/ir:0.079074 ssim/vi:0.147382
['010114.jpg'] ssim/ir:0.093337 ssim/vi:0.130482
['010115.jpg'] ssim/ir:0.092758 ssim/vi:0.163006
['010116.jpg'] ssim/ir:0.118919 ssim/vi:0.140769
['010117.jpg'] ssim/ir:0.084237 ssim/vi:0.166509
['010118.jpg'] ssim/ir:0.132918 ssim/vi:0.119952
['010119.jpg'] ssim/ir:0.169822 ssim/vi:0.123614
['010120.jpg'] ssim/ir:0.107736 ssim/vi:0.139895
['010121.jpg'] ssim/ir:0.072938 ssim/vi:0.155992
['010122.jpg'] ssim/ir:0.092231 ssim/vi:0.146010
['010123.jpg'] ssim/ir:0.088577 ssim/vi:0.122371
['010124.jpg'] ssim/ir:0.064675 ssim/vi:0.133435
['010125.jpg'] ssim/ir:0.154870 ssim/vi:0.122297
['010126.jpg'] ssim/ir:0.084459 ssim/vi:0.156268
['010127.jpg'] ssim/ir:0.111599 ssim/vi:0.123582
['010128.jpg'] ssim/ir:0.117351 ssim/vi:0.143671
['010129.jpg'] ssim/ir:0.109288 ssim/vi:0.129000
['010130.jpg'] ssim/ir:0.185500 ssim/vi:0.126896
['010131.jpg'] ssim/ir:0.127770 ssim/vi:0.125919
['010132.jpg'] ssim/ir:0.083304 ssim/vi:0.130375
['010133.jpg'] ssim/ir:0.170694 ssim/vi:0.116520
['010134.jpg'] ssim/ir:0.105168 ssim/vi:0.141847
['010135.jpg'] ssim/ir:0.096749 ssim/vi:0.128192
['010136.jpg'] ssim/ir:0.085018 ssim/vi:0.161799
['010137.jpg'] ssim/ir:0.086986 ssim/vi:0.143323
['010138.jpg'] ssim/ir:0.144689 ssim/vi:0.138407
['010139.jpg'] ssim/ir:0.113608 ssim/vi:0.117119
['010140.jpg'] ssim/ir:0.086554 ssim/vi:0.134695
['010141.jpg'] ssim/ir:0.171421 ssim/vi:0.107290
['010142.jpg'] ssim/ir:0.098840 ssim/vi:0.120579
['010143.jpg'] ssim/ir:0.072552 ssim/vi:0.139692
['010144.jpg'] ssim/ir:0.089079 ssim/vi:0.147188
['010145.jpg'] ssim/ir:0.070450 ssim/vi:0.163639
['010146.jpg'] ssim/ir:0.181972 ssim/vi:0.162794
['010147.jpg'] ssim/ir:0.114487 ssim/vi:0.153781
['010148.jpg'] ssim/ir:0.077322 ssim/vi:0.158940
['010149.jpg'] ssim/ir:0.103167 ssim/vi:0.123688
['010150.jpg'] ssim/ir:0.110128 ssim/vi:0.127902
['010151.jpg'] ssim/ir:0.081894 ssim/vi:0.135796
['010152.jpg'] ssim/ir:0.161493 ssim/vi:0.150818
['010153.jpg'] ssim/ir:0.108916 ssim/vi:0.115468
['010154.jpg'] ssim/ir:0.115995 ssim/vi:0.128275
['010155.jpg'] ssim/ir:0.074279 ssim/vi:0.151217
['010156.jpg'] ssim/ir:0.125549 ssim/vi:0.127668
['010157.jpg'] ssim/ir:0.100796 ssim/vi:0.116256
['010158.jpg'] ssim/ir:0.110002 ssim/vi:0.130451
['010159.jpg'] ssim/ir:0.093163 ssim/vi:0.126343
['010160.jpg'] ssim/ir:0.118573 ssim/vi:0.124410
['010161.jpg'] ssim/ir:0.095229 ssim/vi:0.135619
['010162.jpg'] ssim/ir:0.091226 ssim/vi:0.135456
['010163.jpg'] ssim/ir:0.142321 ssim/vi:0.132723
['010164.jpg'] ssim/ir:0.079469 ssim/vi:0.132263
['010165.jpg'] ssim/ir:0.083610 ssim/vi:0.149760
['010166.jpg'] ssim/ir:0.114129 ssim/vi:0.133552
['010167.jpg'] ssim/ir:0.146764 ssim/vi:0.108553
['010168.jpg'] ssim/ir:0.099046 ssim/vi:0.128667
['010169.jpg'] ssim/ir:0.084604 ssim/vi:0.127855
['010170.jpg'] ssim/ir:0.099440 ssim/vi:0.132595
['010171.jpg'] ssim/ir:0.181023 ssim/vi:0.149738
['010172.jpg'] ssim/ir:0.100633 ssim/vi:0.126313
['010173.jpg'] ssim/ir:0.142927 ssim/vi:0.146358
['010174.jpg'] ssim/ir:0.136805 ssim/vi:0.127377
['010175.jpg'] ssim/ir:0.113573 ssim/vi:0.135341
['010176.jpg'] ssim/ir:0.086753 ssim/vi:0.144800
['010177.jpg'] ssim/ir:0.098956 ssim/vi:0.143077
['010178.jpg'] ssim/ir:0.099261 ssim/vi:0.129049
['010179.jpg'] ssim/ir:0.093021 ssim/vi:0.132149
['010180.jpg'] ssim/ir:0.079487 ssim/vi:0.126833
['010181.jpg'] ssim/ir:0.090076 ssim/vi:0.146752
['010182.jpg'] ssim/ir:0.163469 ssim/vi:0.115460
['010183.jpg'] ssim/ir:0.114632 ssim/vi:0.131665
['010184.jpg'] ssim/ir:0.083406 ssim/vi:0.142433
['010185.jpg'] ssim/ir:0.115259 ssim/vi:0.130734
['010186.jpg'] ssim/ir:0.087143 ssim/vi:0.130022
['010187.jpg'] ssim/ir:0.078075 ssim/vi:0.143371
['010188.jpg'] ssim/ir:0.096347 ssim/vi:0.146527
['010189.jpg'] ssim/ir:0.069870 ssim/vi:0.153366
['010190.jpg'] ssim/ir:0.099953 ssim/vi:0.158022
['010191.jpg'] ssim/ir:0.137282 ssim/vi:0.114419
['010192.jpg'] ssim/ir:0.121453 ssim/vi:0.135650
['010193.jpg'] ssim/ir:0.116324 ssim/vi:0.119747
['010194.jpg'] ssim/ir:0.169546 ssim/vi:0.133688
['010195.jpg'] ssim/ir:0.113446 ssim/vi:0.124765
['010196.jpg'] ssim/ir:0.083745 ssim/vi:0.135267
['010197.jpg'] ssim/ir:0.078832 ssim/vi:0.151880
['010198.jpg'] ssim/ir:0.084662 ssim/vi:0.135071
['010199.jpg'] ssim/ir:0.118735 ssim/vi:0.142145
['010200.jpg'] ssim/ir:0.139258 ssim/vi:0.118741
['010201.jpg'] ssim/ir:0.096232 ssim/vi:0.115613
['010202.jpg'] ssim/ir:0.093038 ssim/vi:0.147341
['010203.jpg'] ssim/ir:0.215892 ssim/vi:0.130669
['010204.jpg'] ssim/ir:0.102102 ssim/vi:0.127038
['010205.jpg'] ssim/ir:0.105863 ssim/vi:0.134728
['010206.jpg'] ssim/ir:0.072325 ssim/vi:0.156603
['010207.jpg'] ssim/ir:0.120143 ssim/vi:0.104420
['010208.jpg'] ssim/ir:0.124035 ssim/vi:0.116253
['010209.jpg'] ssim/ir:0.141266 ssim/vi:0.150953
['010210.jpg'] ssim/ir:0.092232 ssim/vi:0.142169
['010211.jpg'] ssim/ir:0.109446 ssim/vi:0.139472
['010212.jpg'] ssim/ir:0.069523 ssim/vi:0.136791
['010213.jpg'] ssim/ir:0.119090 ssim/vi:0.126426
