['00965.png'] ssim/ir:0.011341 ssim/vi:0.221485
['00976.png'] ssim/ir:0.016232 ssim/vi:0.193615
['00994.png'] ssim/ir:0.016516 ssim/vi:0.194081
['01017.png'] ssim/ir:0.014418 ssim/vi:0.182759
['01034.png'] ssim/ir:0.016417 ssim/vi:0.191160
['01043.png'] ssim/ir:0.017312 ssim/vi:0.203064
['01079.png'] ssim/ir:0.014782 ssim/vi:0.167865
['01093.png'] ssim/ir:0.015369 ssim/vi:0.189599
['01101.png'] ssim/ir:0.015449 ssim/vi:0.182183
['01115.png'] ssim/ir:0.018044 ssim/vi:0.179884
['01122.png'] ssim/ir:0.017678 ssim/vi:0.179859
['01136.png'] ssim/ir:0.017735 ssim/vi:0.180622
['01147.png'] ssim/ir:0.017170 ssim/vi:0.174570
['01156.png'] ssim/ir:0.016707 ssim/vi:0.150778
['01165.png'] ssim/ir:0.016735 ssim/vi:0.166043
['01186.png'] ssim/ir:0.017125 ssim/vi:0.239505
['01204.png'] ssim/ir:0.017099 ssim/vi:0.232117
['01212.png'] ssim/ir:0.016655 ssim/vi:0.226356
['01223.png'] ssim/ir:0.016963 ssim/vi:0.233932
['01227.png'] ssim/ir:0.007419 ssim/vi:0.168326
['01242.png'] ssim/ir:0.006022 ssim/vi:0.127159
['01249.png'] ssim/ir:0.005584 ssim/vi:0.112458
['01267.png'] ssim/ir:0.009749 ssim/vi:0.179557
['01270.png'] ssim/ir:0.007909 ssim/vi:0.174096
['01299.png'] ssim/ir:0.008692 ssim/vi:0.138370
['01301.png'] ssim/ir:0.021007 ssim/vi:0.277229
['01320.png'] ssim/ir:0.020891 ssim/vi:0.277865
['01331.png'] ssim/ir:0.019869 ssim/vi:0.279393
['01345.png'] ssim/ir:0.019050 ssim/vi:0.275787
['01388.png'] ssim/ir:0.019358 ssim/vi:0.275275
['01393.png'] ssim/ir:0.022746 ssim/vi:0.407690
['01406.png'] ssim/ir:0.022572 ssim/vi:0.407749
['01413.png'] ssim/ir:0.022715 ssim/vi:0.407830
['01415.png'] ssim/ir:0.022616 ssim/vi:0.407839
['01422.png'] ssim/ir:0.022691 ssim/vi:0.409707
